id,type,size,,bp,bt,rbp,fh,drw,,,,
113,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,8.2,,,,inconel :0.4_s316:0.05_ptfe:0.1,flat_36_0.715,reverse_4_12.8
114,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.1,,,,monel :0.6_ s316:0.05_ptfe:0.1,flat_16_3,reverse_4_50
115,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.72,,,,s316:0.6_s316:0.05_ptfe:0.1,flat_16_3,reverse_4_10.5
116,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.33,,,,s316:0.4_s316:0.05_ptfe:0.1,flat_16_3,reverse_4_22
117,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.4,,,,s316:0.5_s316:0.05_ptfe:0.1,flat_16_3,reverse_6_19
118,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.57,,,,s316:0.5_s316:0.5_ptfe:0.1,flat_16_3,reverse_6_3
119,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.21,,,,s316:0.8_inconel:0.05_ptfe:0.1,flat_16_3,reverse_6_0.3
120,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.18,,,,s316:0.8_s316:0.05_ptfe:0.1,flat_16_3,reverse_6_9.4
121,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.16,,,,inconel:0.8_s316:0.05_ptfe:0.1,flat_24_3.3,reverse_6_0.5
122,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,2.98,,,,s316:0.8_s316:0.1_ptfe:0.1,flat_24_3.3,reverse_6_6.9
123,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.37,,,,s316:1_s316:0.05_ptfe:0.1,flat_24_3.3,reverse_6_2.5
124,flat,8,s316:0.5_s316:0.5_tef:0.5,3.21,35,2.59,,,,hastelloy :1_ s316:0.05_ptfe:0.1,flat_8_3.21,reverse_6_5.19
125,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.7,,,,monel :1_ s316:0.05_ptfe:0.1,flat_8_3.2,reverse_6_6.19
126,flat,8,s316:0.5_s316:0.5_tef:0.5,3.3,35,3.9,,,,s316:1_inconel:0.1_ptfe:0.1,flat_8_3.3,reverse_6_3.15
127,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,2.81,,,,s316:1_inconel:0.05_ptfe:0.1,flat_8_3.2,reverse_6_5.5
128,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.4,,,,s316:1_s316:0.1_ptfe:0.1,flat_8_3.2,reverse_8_1
129,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.28,,,,hastelloy:0.8_s316:0.05_ptfe:0.1,flat_16_3.5,reverse_8_8
130,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.3,,,,inconel:1.6_ inconel:0.1_ptfe:0.1,flat_16_3,reverse_8_7
131,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.52,,,,inconel:0.5_s316:0.05_ptfe:0.1,flat_16_3.5,reverse_8_13.5
132,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.31,,,,inconel:1_s316:0.05_ptfe:0.1,flat_16_3,reverse_10_22.8
133,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,3.1,,,,s316:1.5_s316:0.1_ptfe:0.1,flat_24_3.5,reverse_10_1.76
134,flat,24,s316:0.5_s316:1.5_tef:0.5,3,35,3.25,,,,s316:2.5_s316:0.1_ptfe:0.1,flat_24_3,reverse_10_7
135,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,2.1,,,,s316:2_s316:0.1_ptfe:0.1,flat_24_3.5,reverse_10_4.2
136,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.7,,,,hastelloy:1_ hastelloy:0.05_ptfe:0.1,flat_1_3.5,reverse_10_12
137,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.8,,,,s316:0.3_s316:0.3_ptfe:0.1,flat_1_3.5,reverse_16_1
138,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.1,,,,hastelloy:1_s316:0.1_ptfe:0.1,flat_1_3.5,0
139,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.05,,,,inconel:0.5_s316:0.1_ptfe:0.1,flat_1_3.5,
140,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,2.85,,,,inconel:0.1_ inconel:1.2_ptfe:0.1,flat_1_3.5,
141,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,4.2,,,,inconel:1.5_s316:0.1_ptfe:0.1,flat_1_3.5,
142,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.65,,,,s316:0.8_s316:.05_ptfe:0.1,flat_1_3.5,
143,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.25,,,,monel :04_ s316:0.05_ptfe:0.1,flat_1_3.5,
144,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,9.9,,,,s316:0.4_monel:0.05_ptfe:0.1,flat_8_0.2,
145,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.9,,,,s316:0.1_s316:0.1_s316:0.05_tef:0.4,flat_8_0.2,
146,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.6,,,,s316:0.4_s316:0.1_tef:0.5,flat_8_0.2,
147,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,16,,,,inconel:0.5_s316:0.1_tef:0.5,flat_8_0.2,
148,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,15.55,,,,s316:0.5_s316:0.1_tef:0.5,flat_8_0.2,
149,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,11.43,,,,inconel:0.8_s316:0.05_tef:0.5,flat_8_0.2,
150,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,,,,,s316:1.5_s316:0.1_s316:0.5_tef:0.5,flat_8_0.2,
151,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.4,,,,s316:1.5_s316:0.5_ptfe:0.3,flat_24_3,
152,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.3,,,,s316:1.5_s316:0.1_ptfe:0.3,flat_24_3,
153,flat,24,s316:2_s316:0.5_tef:0.5,3,22,1.3,,,,s316:2.5_s316:0.1_ptfe:0.3,flat_24_3,
154,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.3,,,,s316:3_s316:0.1_ptfe:0.3,flat_24_4,
155,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.4,,,,s316:1.5_inconel:0.1_inconel:1_ptfe:0.3,flat_24_4,
156,flat,24,s316:2_s316:0.5_tef:1.5,4,22,3.97,,,,s316:1_s316:0.1_s316:0.5_tef:0.5,flat_24_4,
157,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.4,,,,inconel:0.5_s316:0.1_fep:0.5,flat_24_4,
158,flat,24,s316:2_s316:0.5_tef:1.5,4,22,2.14,,,,inconel:0.5_s316:0.1_fep:0.4,flat_24_4,
159,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.31,,,,inconel:0.5_s316:0.1_fep:0.81,flat_24_4,
160,flat,24,s316:2_s316:0.5_tef:1.5,5,22,4.75,,,,inconel:0.5_s316:0.1_fep:0.65,flat_24_5,
161,flat,24,s316:2_s316:0.5_tef:1.5,5,22,1.43,,,,inconel:0.5_s316:0.1_fep:0.8,flat_24_5,
162,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.54,,,,inconel:1.2_s316:0.1_fep:0.5,flat_24_6,
163,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.08,,,,inconel:0.8_s316:0.1_fep:0.4,flat_24_6,
164,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.23,,,,inconel:0.8_s316:0.1_fep:0.5,flat_24_6,
165,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.3,,,,inconel:1.2_s316:0.1_fep:0.4,flat_24_6,
166,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.28,,,,inconel:1_s316:0.1_fep:0.4,flat_24_6,
167,flat,24,s316:3_s316:0.5_tef:0.5,6,22,5.5,,,,inconel:1.2_ inconel:0.5_fep:0.5,flat_24_6,
168,flat,24,s316:3_s316:0.5_tef:0.5,6,22,6.17,,,,0,flat_24_6,
169,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.27,,,,,flat_24_6,
170,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.81,,,,,flat_2_0.5,
171,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.98,,,,,flat_2_0.5,
172,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.1,,,,,flat_2_0.5,
